metric/nrmse_sum,metric/nmae_sum,metric/nrmse,metric/nmae,metric/mae,metric/mse,metric/rmse,metric/mape,metric/mspe,metric/rse,metric_glu/CRPS,metric_glu/ND,metric_glu/NRMSE,metric_glu/CRPS_Sum,metric_glu/ND_Sum,metric_glu/NRMSE_Sum,metric_rs/nrmse_sum,metric_rs/nmae_sum,metric_rs/nrmse,metric_rs/nmae,metric_rs/mae,metric_rs/mse,metric_rs/rmse,metric_rs/mape,metric_rs/mspe,metric_rs/rse,metric_glu_rs/CRPS,metric_glu_rs/ND,metric_glu_rs/NRMSE,metric_glu_rs/CRPS_Sum,metric_glu_rs/ND_Sum,metric_glu_rs/NRMSE_Sum,multisample_glu_rs/CRPS,multisample_glu_rs/ND,multisample_glu_rs/NRMSE,multisample_glu_rs/CRPS_Sum,multisample_glu_rs/ND_Sum,multisample_glu_rs/NRMSE_Sum,dataset,model,train_epochs,pred_len,label_len,time,setting
0.0060870745,0.0057054386,1.1133589,0.951001,0.9102995,1.1357348,1.0657086,inf,inf,0.9845838,0.9510009466465694,0.9510009466279546,1.1133587041992627,0.958513782434029,0.9585137676858183,1.0226284893887172,0.0022365225,0.0021213884,3.6092849,0.3868896,292.79987,7461221.0,2731.5237,inf,inf,0.5308333,0.38688958675868984,0.3868895846108392,3.609284470696667,0.35639326498870977,0.3563932706351416,0.3757358077106631,0.3833892092689634,0.38710915302078447,3.609284342289034,0.3549935518503547,0.35650822401602145,0.37573579612489133,elec,TimeDiff,40,24,12,2023-11-17_12-42-05,elec_elec_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0059980704,0.0056175645,1.1019222,0.94064283,0.90038466,1.1125215,1.0547614,inf,inf,0.97446984,0.9406427765814875,0.9406427762646344,1.1019219797256086,0.9437507473785914,0.9437507435180302,1.007675822329563,0.0022001725,0.0020825663,3.540772,0.38091457,288.27792,7180646.0,2679.6729,inf,inf,0.52075684,0.38091457381017524,0.38091456973560245,3.5407715497176317,0.3498711286960573,0.34987114497106675,0.36962898030841634,0.3775447588065079,0.38114394226996173,3.54077161444943,0.34856668558556275,0.3499980820731746,0.36962898030841634,elec,TimeDiff,40,24,12,2023-11-17_12-42-05,elec_elec_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0058664787,0.0054902122,1.0755451,0.9139769,0.87486,1.0598974,1.0295132,inf,inf,0.9511437,0.9139769201386535,0.9139769211829463,1.0755449896234,0.9223556836604495,0.9223556689989929,0.9855683587603706,0.0021414277,0.002023007,3.4270363,0.36976713,279.8415,6726746.0,2593.5972,inf,inf,0.5040293,0.369767107729199,0.3697671009082476,3.4270360209119675,0.3398651877994727,0.3398651841458992,0.35975985465721466,0.3663209863243412,0.36979688093554663,3.427036070373082,0.338490092485116,0.33980072713712983,0.3597598563858238,elec,TimeDiff,40,24,12,2023-11-17_12-42-05,elec_elec_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0060294233,0.005662796,1.0976793,0.9347091,0.8947049,1.1039709,1.0507002,inf,inf,0.97071785,0.9347091255314214,0.9347091248968102,1.097679251872727,0.9513498007324485,0.9513498212064351,1.012943019057059,0.0022230244,0.0021062812,3.6009622,0.3846004,291.06738,7426851.5,2725.225,inf,inf,0.52960926,0.38460037439616607,0.3846003715941349,3.6009618185338215,0.35385523871482344,0.3538552407076817,0.37346806880213596,0.3811954529199879,0.38484681820880906,3.600961851601286,0.35253274568362797,0.3538843311245342,0.37346807046729624,elec,TimeDiff,40,24,12,2023-11-17_12-42-05,elec_elec_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0061082607,0.005721981,1.1057053,0.94116956,0.90088886,1.1201737,1.0583826,inf,inf,0.97781545,0.9411696460010832,0.9411696469998487,1.1057051472745343,0.9612927257991678,0.9612926887063336,1.0261877642260073,0.0022536926,0.00213776,3.6348672,0.38879323,294.24054,7567365.5,2750.8845,inf,inf,0.5345958,0.38879323767446894,0.3887932403055109,3.634866749712345,0.3591436522356197,0.3591436489141893,0.3786203556106444,0.38532373083954885,0.3889664172486412,3.6348667504709753,0.3577464794444319,0.3591536344628312,0.3786203539681437,elec,TimeDiff,40,24,12,2023-11-17_12-42-05,elec_elec_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.00092793076,0.00075508934,1.2737588,1.0156024,0.7607066,0.9102514,0.9540709,inf,inf,1.0498362,1.015602379191046,1.0156023790638662,1.273759238151951,0.9967178143444827,0.9967178067774259,1.2248684715695544,0.00040961363,0.00033472624,0.97203594,0.6776552,5.1900535,55.423084,7.4446683,inf,inf,0.8707512,0.6776552318446328,0.677655231813289,0.9720359673532423,0.4418386118441638,0.44183860742807934,0.5406899971410583,0.6685294228502376,0.6772900975006474,0.9720359676023033,0.4415135739042598,0.44185072611874193,0.5406899933809335,taxi,TimeDiff,40,24,12,2023-11-17_12-56-46,taxi_taxi_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.00096484704,0.0007957876,1.2986494,1.0324045,0.77329177,0.9461734,0.9727145,inf,inf,1.070351,1.0324047680093713,1.0324047681166697,1.2986496496522781,1.0504394450614776,1.0504394499114897,1.2735980221783652,0.00042350366,0.00035133254,0.98418546,0.6874595,5.265143,56.81722,7.5377197,inf,inf,0.8816348,0.6874594483247595,0.6874594484619658,0.9841856656164314,0.4637589246027952,0.46375892380710426,0.5590248258468153,0.6783301905089044,0.6872093975226167,0.984185665650007,0.4634206884875967,0.46378011528366947,0.5590248262230361,taxi,TimeDiff,40,24,12,2023-11-17_12-56-46,taxi_taxi_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.00093491335,0.000767874,1.2753718,1.0159202,0.7609446,0.9125582,0.9552791,inf,inf,1.0511655,1.0159200705409406,1.0159200705954827,1.2753722231509994,1.0135936818199534,1.0135936805166408,1.234085503775246,0.0004108324,0.00033893302,0.9683378,0.676415,5.180555,55.00217,7.4163446,inf,inf,0.86743844,0.6764149244258809,0.6764149244413294,0.9683378191332648,0.4473915616441995,0.4473915613855999,0.5422987571104009,0.6672795325652237,0.6760833813896987,0.9683378192381071,0.4470542734469804,0.4474164569624364,0.5422987584677866,taxi,TimeDiff,40,24,12,2023-11-17_12-56-46,taxi_taxi_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0009331883,0.00076338614,1.2754622,1.0150471,0.7602907,0.9126874,0.95534676,inf,inf,1.05124,1.0150473925629286,1.0150473923366725,1.2754625418381944,1.0076696115294776,1.0076696140564558,1.2318085472036737,0.0004109687,0.00033729716,0.9686601,0.67608756,5.1780467,55.038795,7.4188137,inf,inf,0.86772716,0.6760876419101569,0.6760876418977291,0.968660118824506,0.44523225320030574,0.44523225489114887,0.5424786869497082,0.6669593456813102,0.6757433701947351,0.9686601191203004,0.4448962438039963,0.4452507123737864,0.5424786888881877,taxi,TimeDiff,40,24,12,2023-11-17_12-56-46,taxi_taxi_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0009591878,0.00079544884,1.2885847,1.0237489,0.76680845,0.93156433,0.9651758,inf,inf,1.0620556,1.023748760111524,1.0237487601747368,1.2885849822864475,1.0499923786971732,1.0499923825684943,1.2661276796467253,0.0004202833,0.0003501471,0.97579336,0.68089366,5.214856,55.852394,7.473446,inf,inf,0.8741171,0.6808938183122237,0.6808938182449172,0.9757933268717833,0.46219420173285164,0.4621942008376993,0.5547739561995275,0.6717658252665729,0.6806436962141608,0.9757933270043238,0.4618344213529967,0.46221798308383044,0.5547739546831135,taxi,TimeDiff,40,24,12,2023-11-17_12-56-46,taxi_taxi_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0070009627,0.0060860696,1.4257901,1.0078511,0.6824688,0.93214613,0.96547717,2.9980276,3202.4954,1.0123489,1.0078510963935028,1.0078510969663927,1.425790055189722,1.0224598475426157,1.022459846702263,1.1761618692017304,0.003288592,0.002852951,0.8136382,0.54862595,0.028731935,0.0018156816,0.042610817,482.36118,22271115000.0,0.98348206,0.5486259447573448,0.5486259447019451,0.8136381788357153,0.4792957346365018,0.4792957429657867,0.5524834198653914,0.5403459151820155,0.5484769390906121,0.8136381777104356,0.4789937803827615,0.47930766149688886,0.5524834177970993,traf,TimeDiff,40,24,12,2023-11-17_13-29-47,traf_traf_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
